,station_id,date,count
0,365,2023-01-16,8
1,365,2023-01-17,1
2,365,2023-01-18,1
3,365,2023-01-19,7
4,365,2023-01-20,2
5,365,2023-01-21,8
6,365,2023-01-22,9
7,365,2023-01-23,8
8,365,2023-01-24,3
9,365,2023-01-25,3
10,365,2023-01-26,4
11,365,2023-01-27,3
12,365,2023-01-28,3
13,365,2023-01-29,6
14,365,2023-01-30,1
15,365,2023-01-31,6
16,365,2023-02-01,2
17,365,2023-02-02,7
18,365,2023-02-03,7
19,365,2023-02-04,0
20,365,2023-02-05,5
21,365,2023-02-06,4
22,365,2023-02-07,6
23,365,2023-02-08,1
24,365,2023-02-09,1
25,365,2023-02-10,4
26,365,2023-02-11,0
27,365,2023-02-12,7
28,322,2023-01-16,6
29,322,2023-01-17,8
30,322,2023-01-18,7
31,322,2023-01-19,6
32,322,2023-01-20,8
33,322,2023-01-21,2
34,322,2023-01-22,6
35,322,2023-01-23,4
36,322,2023-01-24,0
37,322,2023-01-25,5
38,322,2023-01-26,8
39,322,2023-01-27,6
40,322,2023-01-28,4
41,322,2023-01-29,2
42,322,2023-01-30,4
43,322,2023-01-31,0
44,322,2023-02-01,0
45,322,2023-02-02,5
46,322,2023-02-03,9
47,322,2023-02-04,0
48,322,2023-02-05,9
49,322,2023-02-06,8
50,322,2023-02-07,6
51,322,2023-02-08,5
52,322,2023-02-09,5
53,322,2023-02-10,3
54,322,2023-02-11,8
55,322,2023-02-12,1
56,98,2023-01-16,8
57,98,2023-01-17,3
58,98,2023-01-18,7
59,98,2023-01-19,8
60,98,2023-01-20,5
61,98,2023-01-21,9
62,98,2023-01-22,1
63,98,2023-01-23,4
64,98,2023-01-24,9
65,98,2023-01-25,3
66,98,2023-01-26,4
67,98,2023-01-27,4
68,98,2023-01-28,4
69,98,2023-01-29,0
70,98,2023-01-30,0
71,98,2023-01-31,6
72,98,2023-02-01,8
73,98,2023-02-02,4
74,98,2023-02-03,8
75,98,2023-02-04,0
76,98,2023-02-05,1
77,98,2023-02-06,7
78,98,2023-02-07,6
79,98,2023-02-08,2
80,98,2023-02-09,6
81,98,2023-02-10,4
82,98,2023-02-11,2
83,98,2023-02-12,4
84,230,2023-01-16,7
85,230,2023-01-17,5
86,230,2023-01-18,8
87,230,2023-01-19,1
88,230,2023-01-20,3
89,230,2023-01-21,3
90,230,2023-01-22,9
91,230,2023-01-23,1
92,230,2023-01-24,5
93,230,2023-01-25,5
94,230,2023-01-26,2
95,230,2023-01-27,4
96,230,2023-01-28,6
97,230,2023-01-29,9
98,230,2023-01-30,0
99,230,2023-01-31,9
100,230,2023-02-01,5
101,230,2023-02-02,3
102,230,2023-02-03,1
103,230,2023-02-04,7
104,230,2023-02-05,6
105,230,2023-02-06,5
106,230,2023-02-07,6
107,230,2023-02-08,2
108,230,2023-02-09,8
109,230,2023-02-10,1
110,230,2023-02-11,2
111,230,2023-02-12,4
112,17,2023-01-16,7
113,17,2023-01-17,9
114,17,2023-01-18,5
115,17,2023-01-19,2
116,17,2023-01-20,1
117,17,2023-01-21,6
118,17,2023-01-22,5
119,17,2023-01-23,3
120,17,2023-01-24,1
121,17,2023-01-25,5
122,17,2023-01-26,8
123,17,2023-01-27,8
124,17,2023-01-28,5
125,17,2023-01-29,5
126,17,2023-01-30,4
127,17,2023-01-31,9
128,17,2023-02-01,3
129,17,2023-02-02,3
130,17,2023-02-03,4
131,17,2023-02-04,1
132,17,2023-02-05,9
133,17,2023-02-06,5
134,17,2023-02-07,9
135,17,2023-02-08,7
136,17,2023-02-09,8
137,17,2023-02-10,2
138,17,2023-02-11,8
139,17,2023-02-12,1
140,83,2023-01-16,6
141,83,2023-01-17,0
142,83,2023-01-18,2
143,83,2023-01-19,4
