,station_id,date,count
0,157,2023-01-16,8
1,157,2023-01-17,4
2,157,2023-01-18,5
3,157,2023-01-19,1
4,157,2023-01-20,2
5,157,2023-01-21,6
6,157,2023-01-22,4
7,157,2023-01-23,0
8,157,2023-01-24,3
9,157,2023-01-25,7
10,157,2023-01-26,2
11,157,2023-01-27,6
12,157,2023-01-28,0
13,157,2023-01-29,0
14,157,2023-01-30,2
15,157,2023-01-31,3
16,157,2023-02-01,5
17,157,2023-02-02,7
18,157,2023-02-03,2
19,157,2023-02-04,3
20,157,2023-02-05,5
21,157,2023-02-06,9
22,157,2023-02-07,4
23,157,2023-02-08,8
24,157,2023-02-09,7
25,157,2023-02-10,2
26,157,2023-02-11,2
27,157,2023-02-12,9
28,226,2023-01-16,1
29,226,2023-01-17,1
30,226,2023-01-18,1
31,226,2023-01-19,9
32,226,2023-01-20,5
33,226,2023-01-21,7
34,226,2023-01-22,1
35,226,2023-01-23,6
36,226,2023-01-24,7
37,226,2023-01-25,7
38,226,2023-01-26,9
39,226,2023-01-27,7
40,226,2023-01-28,9
41,226,2023-01-29,8
42,226,2023-01-30,7
43,226,2023-01-31,4
44,226,2023-02-01,1
45,226,2023-02-02,8
46,226,2023-02-03,3
47,226,2023-02-04,1
48,226,2023-02-05,4
49,226,2023-02-06,1
50,226,2023-02-07,9
51,226,2023-02-08,0
52,226,2023-02-09,8
53,226,2023-02-10,9
54,226,2023-02-11,1
55,226,2023-02-12,8
56,343,2023-01-16,6
57,343,2023-01-17,6
58,343,2023-01-18,2
59,343,2023-01-19,2
60,343,2023-01-20,1
61,343,2023-01-21,0
62,343,2023-01-22,9
63,343,2023-01-23,2
64,343,2023-01-24,1
65,343,2023-01-25,2
66,343,2023-01-26,5
67,343,2023-01-27,0
68,343,2023-01-28,6
69,343,2023-01-29,4
70,343,2023-01-30,3
71,343,2023-01-31,3
72,343,2023-02-01,2
73,343,2023-02-02,6
74,343,2023-02-03,6
75,343,2023-02-04,9
76,343,2023-02-05,5
77,343,2023-02-06,8
78,343,2023-02-07,4
79,343,2023-02-08,5
80,343,2023-02-09,5
81,343,2023-02-10,5
82,343,2023-02-11,4
83,343,2023-02-12,0
84,255,2023-01-16,8
85,255,2023-01-17,9
86,255,2023-01-18,1
87,255,2023-01-19,4
88,255,2023-01-20,1
89,255,2023-01-21,0
90,255,2023-01-22,6
91,255,2023-01-23,3
92,255,2023-01-24,5
93,255,2023-01-25,3
94,255,2023-01-26,2
95,255,2023-01-27,0
96,255,2023-01-28,5
97,255,2023-01-29,5
98,255,2023-01-30,1
99,255,2023-01-31,5
100,255,2023-02-01,5
101,255,2023-02-02,0
102,255,2023-02-03,9
103,255,2023-02-04,4
104,255,2023-02-05,0
105,255,2023-02-06,9
106,255,2023-02-07,6
107,255,2023-02-08,3
108,255,2023-02-09,3
109,255,2023-02-10,0
110,255,2023-02-11,5
111,255,2023-02-12,3
112,323,2023-01-16,5
113,323,2023-01-17,1
114,323,2023-01-18,3
115,323,2023-01-19,6
116,323,2023-01-20,3
117,323,2023-01-21,6
118,323,2023-01-22,8
119,323,2023-01-23,9
120,323,2023-01-24,5
121,323,2023-01-25,8
122,323,2023-01-26,3
123,323,2023-01-27,5
124,323,2023-01-28,9
125,323,2023-01-29,0
126,323,2023-01-30,9
127,323,2023-01-31,6
128,323,2023-02-01,2
129,323,2023-02-02,1
130,323,2023-02-03,1
